Date ,Time,Air Temp C,Air Logger ID,SiteID
7-Jun-2013,14:00:00,12.57,515471,PBCC
7-Jun-2013,14:30:00,12.57,515471,PBCC
7-Jun-2013,15:00:00,12.72,515471,PBCC
7-Jun-2013,15:30:00,13.03,515471,PBCC
7-Jun-2013,16:00:00,12.88,515471,PBCC
7-Jun-2013,16:30:00,12.88,515471,PBCC
7-Jun-2013,17:00:00,12.72,515471,PBCC
7-Jun-2013,17:30:00,12.57,515471,PBCC
7-Jun-2013,18:00:00,12.26,515471,PBCC
7-Jun-2013,18:30:00,12.10,515471,PBCC
7-Jun-2013,19:00:00,11.79,515471,PBCC
7-Jun-2013,19:30:00,11.63,515471,PBCC
7-Jun-2013,20:00:00,11.32,515471,PBCC
7-Jun-2013,20:30:00,11.01,515471,PBCC
7-Jun-2013,21:00:00,10.85,515471,PBCC
7-Jun-2013,21:30:00,10.69,515471,PBCC
7-Jun-2013,22:00:00,10.69,515471,PBCC
7-Jun-2013,22:30:00,10.54,515471,PBCC
7-Jun-2013,23:00:00,10.54,515471,PBCC
7-Jun-2013,23:30:00,10.54,515471,PBCC
8-Jun-2013,0:00:00,10.54,515471,PBCC
8-Jun-2013,0:30:00,10.54,515471,PBCC
8-Jun-2013,1:00:00,10.54,515471,PBCC
8-Jun-2013,1:30:00,10.54,515471,PBCC
8-Jun-2013,2:00:00,10.54,515471,PBCC
8-Jun-2013,2:30:00,10.54,515471,PBCC
8-Jun-2013,3:00:00,10.54,515471,PBCC
8-Jun-2013,3:30:00,10.54,515471,PBCC
8-Jun-2013,4:00:00,10.54,515471,PBCC
8-Jun-2013,4:30:00,10.69,515471,PBCC
8-Jun-2013,5:00:00,10.69,515471,PBCC
8-Jun-2013,5:30:00,10.69,515471,PBCC
8-Jun-2013,6:00:00,10.85,515471,PBCC
8-Jun-2013,6:30:00,11.01,515471,PBCC
8-Jun-2013,7:00:00,11.16,515471,PBCC
8-Jun-2013,7:30:00,11.48,515471,PBCC
8-Jun-2013,8:00:00,11.63,515471,PBCC
8-Jun-2013,8:30:00,12.10,515471,PBCC
8-Jun-2013,9:00:00,12.72,515471,PBCC
8-Jun-2013,9:30:00,13.19,515471,PBCC
8-Jun-2013,10:00:00,13.19,515471,PBCC
8-Jun-2013,10:30:00,13.97,515471,PBCC
8-Jun-2013,11:00:00,14.60,515471,PBCC
8-Jun-2013,11:30:00,15.71,515471,PBCC
8-Jun-2013,12:00:00,16.83,515471,PBCC
8-Jun-2013,12:30:00,17.79,515471,PBCC
8-Jun-2013,13:00:00,18.93,515471,PBCC
8-Jun-2013,13:30:00,19.09,515471,PBCC
8-Jun-2013,14:00:00,19.92,515471,PBCC
8-Jun-2013,14:30:00,20.41,515471,PBCC
8-Jun-2013,15:00:00,20.24,515471,PBCC
8-Jun-2013,15:30:00,20.74,515471,PBCC
8-Jun-2013,16:00:00,20.90,515471,PBCC
8-Jun-2013,16:30:00,20.74,515471,PBCC
8-Jun-2013,17:00:00,20.08,515471,PBCC
8-Jun-2013,17:30:00,19.76,515471,PBCC
8-Jun-2013,18:00:00,19.26,515471,PBCC
8-Jun-2013,18:30:00,18.77,515471,PBCC
8-Jun-2013,19:00:00,18.60,515471,PBCC
8-Jun-2013,19:30:00,18.27,515471,PBCC
8-Jun-2013,20:00:00,17.31,515471,PBCC
8-Jun-2013,20:30:00,16.67,515471,PBCC
8-Jun-2013,21:00:00,15.87,515471,PBCC
8-Jun-2013,21:30:00,15.23,515471,PBCC
8-Jun-2013,22:00:00,14.60,515471,PBCC
8-Jun-2013,22:30:00,14.13,515471,PBCC
8-Jun-2013,23:00:00,13.97,515471,PBCC
8-Jun-2013,23:30:00,13.66,515471,PBCC
9-Jun-2013,0:00:00,13.19,515471,PBCC
9-Jun-2013,0:30:00,13.03,515471,PBCC
9-Jun-2013,1:00:00,12.72,515471,PBCC
9-Jun-2013,1:30:00,12.41,515471,PBCC
9-Jun-2013,2:00:00,12.26,515471,PBCC
9-Jun-2013,2:30:00,12.10,515471,PBCC
9-Jun-2013,3:00:00,12.41,515471,PBCC
9-Jun-2013,3:30:00,12.57,515471,PBCC
9-Jun-2013,4:00:00,12.41,515471,PBCC
9-Jun-2013,4:30:00,12.10,515471,PBCC
9-Jun-2013,5:00:00,11.94,515471,PBCC
9-Jun-2013,5:30:00,11.32,515471,PBCC
9-Jun-2013,6:00:00,11.16,515471,PBCC
9-Jun-2013,6:30:00,11.48,515471,PBCC
9-Jun-2013,7:00:00,12.10,515471,PBCC
9-Jun-2013,7:30:00,13.03,515471,PBCC
9-Jun-2013,8:00:00,14.13,515471,PBCC
9-Jun-2013,8:30:00,15.56,515471,PBCC
9-Jun-2013,9:00:00,16.67,515471,PBCC
9-Jun-2013,9:30:00,17.79,515471,PBCC
9-Jun-2013,10:00:00,18.60,515471,PBCC
9-Jun-2013,10:30:00,19.26,515471,PBCC
9-Jun-2013,11:00:00,20.08,515471,PBCC
9-Jun-2013,11:30:00,20.74,515471,PBCC
9-Jun-2013,12:00:00,20.90,515471,PBCC
9-Jun-2013,12:30:00,21.57,515471,PBCC
9-Jun-2013,13:00:00,21.40,515471,PBCC
9-Jun-2013,13:30:00,22.74,515471,PBCC
9-Jun-2013,14:00:00,22.92,515471,PBCC
9-Jun-2013,14:30:00,22.74,515471,PBCC
9-Jun-2013,15:00:00,23.26,515471,PBCC
9-Jun-2013,15:30:00,22.74,515471,PBCC
9-Jun-2013,16:00:00,22.41,515471,PBCC
9-Jun-2013,16:30:00,22.74,515471,PBCC
9-Jun-2013,17:00:00,22.74,515471,PBCC
9-Jun-2013,17:30:00,22.58,515471,PBCC
9-Jun-2013,18:00:00,22.07,515471,PBCC
9-Jun-2013,18:30:00,20.90,515471,PBCC
9-Jun-2013,19:00:00,20.24,515471,PBCC
9-Jun-2013,19:30:00,19.43,515471,PBCC
9-Jun-2013,20:00:00,18.93,515471,PBCC
9-Jun-2013,20:30:00,17.95,515471,PBCC
9-Jun-2013,21:00:00,16.83,515471,PBCC
9-Jun-2013,21:30:00,15.87,515471,PBCC
9-Jun-2013,22:00:00,14.92,515471,PBCC
9-Jun-2013,22:30:00,14.28,515471,PBCC
9-Jun-2013,23:00:00,13.82,515471,PBCC
9-Jun-2013,23:30:00,13.19,515471,PBCC
10-Jun-2013,0:00:00,12.88,515471,PBCC
10-Jun-2013,0:30:00,12.41,515471,PBCC
10-Jun-2013,1:00:00,11.94,515471,PBCC
10-Jun-2013,1:30:00,11.63,515471,PBCC
10-Jun-2013,2:00:00,11.32,515471,PBCC
10-Jun-2013,2:30:00,11.01,515471,PBCC
10-Jun-2013,3:00:00,10.69,515471,PBCC
10-Jun-2013,3:30:00,10.54,515471,PBCC
10-Jun-2013,4:00:00,10.07,515471,PBCC
10-Jun-2013,4:30:00,9.76,515471,PBCC
10-Jun-2013,5:00:00,9.61,515471,PBCC
10-Jun-2013,5:30:00,9.45,515471,PBCC
10-Jun-2013,6:00:00,9.29,515471,PBCC
10-Jun-2013,6:30:00,9.92,515471,PBCC
10-Jun-2013,7:00:00,10.85,515471,PBCC
10-Jun-2013,7:30:00,11.63,515471,PBCC
10-Jun-2013,8:00:00,12.72,515471,PBCC
10-Jun-2013,8:30:00,14.60,515471,PBCC
10-Jun-2013,9:00:00,16.19,515471,PBCC
10-Jun-2013,9:30:00,17.31,515471,PBCC
10-Jun-2013,10:00:00,17.63,515471,PBCC
10-Jun-2013,10:30:00,18.44,515471,PBCC
10-Jun-2013,11:00:00,18.77,515471,PBCC
10-Jun-2013,11:30:00,18.77,515471,PBCC
10-Jun-2013,12:00:00,18.93,515471,PBCC
10-Jun-2013,12:30:00,18.77,515471,PBCC
10-Jun-2013,13:00:00,18.60,515471,PBCC
10-Jun-2013,13:30:00,18.27,515471,PBCC
10-Jun-2013,14:00:00,17.95,515471,PBCC
10-Jun-2013,14:30:00,17.63,515471,PBCC
10-Jun-2013,15:00:00,16.99,515471,PBCC
10-Jun-2013,15:30:00,16.99,515471,PBCC
10-Jun-2013,16:00:00,16.67,515471,PBCC
10-Jun-2013,16:30:00,16.35,515471,PBCC
10-Jun-2013,17:00:00,16.19,515471,PBCC
10-Jun-2013,17:30:00,15.87,515471,PBCC
10-Jun-2013,18:00:00,15.56,515471,PBCC
